language,benchmark,run_id,time
enso,alloc_full_tree,13,8.745
enso,alloc_full_tree,14,9.104
enso,alloc_full_tree,15,8.296
enso,alloc_full_tree,16,8.372
enso,alloc_full_tree,17,8.791
enso,alloc_full_tree,18,9.195
enso,alloc_full_tree,19,9.190
enso,alloc_full_tree,20,8.680
enso,alloc_full_tree,21,9.459
enso,alloc_full_tree,22,8.875
enso,alloc_full_tree,23,10.046
enso,alloc_full_tree,24,8.658
enso,alloc_full_tree,25,9.302
enso,alloc_full_tree,26,8.669
enso,alloc_full_tree,27,8.110
enso,alloc_full_tree,28,9.029
enso,alloc_full_tree,29,8.808
enso,alloc_full_tree,30,8.501
enso,alloc_full_tree,31,8.574
enso,alloc_full_tree,32,9.697
enso,alloc_full_tree,33,9.012
enso,alloc_full_tree,34,9.016
enso,alloc_full_tree,35,8.795
enso,alloc_full_tree,36,8.800
enso,alloc_full_tree,37,9.583
enso,alloc_full_tree,38,9.094
enso,alloc_full_tree,39,8.865
enso,alloc_full_tree,40,8.512
enso,alloc_full_tree,41,8.790
enso,alloc_full_tree,42,9.494
enso,alloc_full_tree,43,8.464
enso,alloc_full_tree,44,9.164
enso,alloc_full_tree,45,8.443
enso,alloc_full_tree,46,9.353
enso,alloc_full_tree,47,8.775
enso,alloc_full_tree,48,8.254
enso,alloc_full_tree,49,9.169
enso,sum_tree,0,101.620
enso,sum_tree,1,7.337
enso,sum_tree,2,6.055
enso,sum_tree,3,5.965
enso,sum_tree,4,6.120
enso,sum_tree,5,6.029
enso,sum_tree,6,5.980
enso,sum_tree,7,6.166
enso,sum_tree,8,6.068
enso,sum_tree,9,6.014
enso,sum_tree,10,6.053
enso,sum_tree,11,6.052
enso,sum_tree,12,6.082
enso,sum_tree,13,6.029
enso,sum_tree,14,6.090
enso,sum_tree,15,6.100
enso,sum_tree,16,6.034
enso,sum_tree,17,5.999
enso,sum_tree,18,6.074
enso,sum_tree,19,6.141
enso,sum_tree,20,6.342
enso,sum_tree,21,6.177
enso,sum_tree,22,5.985
enso,sum_tree,23,5.976
enso,sum_tree,24,5.938
enso,sum_tree,25,5.917
enso,sum_tree,26,6.019
enso,sum_tree,27,5.946
enso,sum_tree,28,5.993
enso,sum_tree,29,6.003
enso,sum_tree,30,5.963
enso,sum_tree,31,6.114
enso,sum_tree,32,5.964
enso,sum_tree,33,5.950
enso,sum_tree,34,6.018
enso,sum_tree,35,5.946
enso,sum_tree,36,5.938
enso,sum_tree,37,6.006
enso,sum_tree,38,5.958
enso,sum_tree,39,5.923
enso,sum_tree,40,6.020
enso,sum_tree,41,5.903
enso,sum_tree,42,5.947
enso,sum_tree,43,5.987
enso,sum_tree,44,5.896
enso,sum_tree,45,6.004
enso,sum_tree,46,5.932
enso,sum_tree,47,5.869
enso,sum_tree,48,6.028
enso,sum_tree,49,5.905
